plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,sprout,sprtct1,sprtct3,sprtct6,vigor,cmd1s,cmd3s,cmd6s,mcmds,cmd1i,cmd3i,cmd6i,mcmdi,cbb3s,cbb6s,mcbbs,cbb3i,cbb6i,mcbbi,cad6s,cad6i,cgm1,cgm2,pt,lodge,brnght,nohav,rtno,norot,rtwt,rtsz,rtshp,nklgt,outcol,inncol,plpcol,tc,easepl,shtwt,rwtair,rwtwat,rtpd,taste,color,freshwt(100g),Oven_Dm(%),Visual Rating,DOH,Comment,Comment:1,comment:2,picture
2021-20NCRP12yrtAG-rep1-IITA-TMS-IKN130010_101,IITA-TMS-IKN130010,101,1,,1,1,1,0.97,34,34,34,5,3,1,1,1.67,0.18,0.00,0.00,0.06,2,1,1.50,0.29,0.00,0.15,1,0.00,4,,3,1,5,15,71,2,19.60,3,2,3,2,1,2,3,2,38.50,4566.80,373.10,1,sweet,yellow,100,31.29,3,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep1-IITA-TMS-IKN130010_101_picture_1_2021-08-09-11-58-04.jpg
2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA070593_102,IITA-TMS-IBA070593,102,1,1,1,1,2,0.91,32,32,31,5,1,1,1,1.00,0.00,0.00,0.00,0.00,2,1,1.50,0.75,0.00,0.38,1,0.00,4,,1,1,5,15,85,0,23.50,5,3,3,3,1,2,3,3,47.20,3923.20,396.10,0,sweet,yellow,100,39.42,3,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA070593_102_picture_1_2021-08-09-12-00-42.jpg
2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA164773_103,IITA-TMS-IBA164773,103,1,,1,1,3,0.97,34,34,32,7,1,1,1,1.00,0.00,0.00,0.00,0.00,3,1,2.00,0.59,0.00,0.29,1,0.00,4,,3,2,5,15,135,10,22.50,5,2,3,2,1,2,4,3,54.80,4811.90,437.10,0,sweet,yellow,100,27.32,4,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA164773_103_picture_1_2021-08-09-12-11-50.jpg
2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA164776_104,IITA-TMS-IBA164776,104,1,,1,1,4,0.91,32,32,31,7,3,3,3,3.00,0.81,0.81,0.26,0.63,1,1,1.00,0.00,0.00,0.00,1,0.00,4,,3,2,4,15,86,0,23.90,7,2,3,2,1,2,4,3,44.00,4834.90,425.60,0,sweet,yellow,100,31.98,3,9/8/2021,mosaic ,mosaic ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA164776_104_picture_1_2021-08-09-12-14-26.jpg
2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA164800_105,IITA-TMS-IBA164800,105,1,,1,1,5,0.74,26,26,26,7,1,1,1,1.00,0.00,0.00,0.00,0.00,2,1,1.50,0.38,0.00,0.19,1,0.00,4,,3,3,2,15,100,5,24.00,3,2,3,2,1,2,4,3,37.60,4912.10,265.10,3,bland,yellow,100,25.86,4,9/8/2021,moderate establishment ,moderate establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA164800_105_picture_1_2021-08-09-12-21-01.jpg
2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA154798_106,IITA-TMS-IBA154798,106,1,,1,1,6,0.74,26,26,25,7,1,1,1,1.00,0.00,0.00,0.00,0.00,2,1,1.50,0.04,0.00,0.02,1,0.00,4,,3,1,4,15,85,0,22.90,5,2,3,3,1,2,4,3,46.70,4519.20,428.90,0,sweet,yellow,100,32.11,3,9/8/2021,moderate establishment ,moderate establishment ,,
2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA150815_107,IITA-TMS-IBA150815,107,1,,1,2,6,0.97,34,34,34,5,1,1,1,1.00,0.00,0.00,0.00,0.00,2,3,2.50,0.29,0.24,0.26,1,0.00,3,,4,1,5,15,15,0,8.00,3,2,3,3,1,2,4,3,28.90,4770.10,445.10,0,sweet,yellow,100,32.70,5,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA150815_107_picture_1_2021-08-09-12-42-31.jpg
2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA141092_108,IITA-TMS-IBA141092,108,1,1,1,2,5,1.00,35,35,35,5,1,1,1,1.00,0.00,0.00,0.00,0.00,2,1,1.50,0.43,0.00,0.21,1,0.00,5,,3,1,3,15,38,0,12.90,3,2,3,1,2,2,4,3,30.00,4801.30,293.40,0,sweet,yellow,100,22.71,3,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA141092_108_picture_1_2021-08-09-12-40-20.jpg
2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA164791_109,IITA-TMS-IBA164791,109,1,,1,2,4,0.97,34,34,33,5,1,1,1,1.00,0.00,0.00,0.00,0.00,1,1,1.00,0.00,0.00,0.00,1,0.00,4,,3,2,4,15,47,0,39.80,3,2,3,2,1,2,4,3,34.00,4682.50,347.40,0,sweet,yellow,100,21.86,3,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA164791_109_picture_1_2021-08-09-12-38-00.jpg
2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA011797_110,IITA-TMS-IBA011797,110,1,1,1,2,3,1.00,35,35,35,7,1,1,1,1.00,0.00,0.00,0.00,0.00,2,1,1.50,0.80,0.00,0.40,2,0.17,5,,2,1,2,15,100,0,21.50,5,2,3,2,3,1,2,3,24.20,4750.50,406.30,1,sweet,cream,100,30.60,2,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA011797_110_picture_1_2021-08-09-12-35-16.jpg
2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA154810_111,IITA-TMS-IBA154810,111,1,,1,2,2,1.00,35,35,35,5,1,1,1,1.00,0.00,0.00,0.00,0.00,1,1,1.00,0.00,0.00,0.00,1,0.00,3,,3,1,3,15,104,0,25.00,3,2,3,2,1,2,3,3,45.40,4740.20,492.30,1,sweet,yellow,100,36.22,3,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA154810_111_picture_1_2021-08-09-12-30-55.jpg
2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA164785_112,IITA-TMS-IBA164785,112,1,,1,2,1,0.94,33,33,33,5,1,1,1,1.00,0.00,0.00,0.00,0.00,2,1,1.50,0.48,0.00,0.24,1,0.00,3,,3,1,5,15,94,0,24.30,5,2,3,2,1,2,4,3,41.40,4877.30,316.90,0,sweet,yellow,100,22.50,3,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep1-IITA-TMS-IBA164785_112_picture_1_2021-08-09-12-28-30.jpg
2021-20NCRP12yrtAG-rep2-IITA-TMS-IBA154798_201,IITA-TMS-IBA154798,201,2,,2,3,1,0.97,34,34,33,5,1,1,1,1.00,0.00,0.00,0.00,0.00,2,3,2.50,0.18,0.61,0.39,1,0.00,3,,4,1,5,15,57,0,29.70,7,2,3,3,1,2,4,3,30.30,4964.20,513.90,0,sweet,yellow,100,35.47,5,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep2-IITA-TMS-IBA154798_201_picture_1_2021-08-09-02-40-57.jpg
2021-20NCRP12yrtAG-rep2-IITA-TMS-IBA154810_202,IITA-TMS-IBA154810,202,2,,2,3,2,1.00,35,35,35,5,1,1,1,1.00,0.00,0.00,0.00,0.00,1,2,1.50,0.00,0.54,0.27,1,0.00,3,,3,1,4,15,85,0,28.50,5,2,3,2,1,2,4,3,48.20,4947.60,507.20,2,sweet,yellow,100,40.55,3,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep2-IITA-TMS-IBA154810_202_picture_1_2021-08-09-02-42-26.jpg
2021-20NCRP12yrtAG-rep2-IITA-TMS-IBA164800_203,IITA-TMS-IBA164800,203,2,,2,3,3,0.86,30,30,28,5,1,1,1,1.00,0.00,0.00,0.00,0.00,2,1,1.50,0.17,0.00,0.08,1,0.00,3,,3,3,3,15,75,3,51.00,5,2,3,2,1,2,4,3,43.50,4674.00,328.70,0,sweet,yellow,100,23.65,3,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep2-IITA-TMS-IBA164800_203_picture_1_2021-08-09-02-43-21.jpg
2021-20NCRP12yrtAG-rep2-IITA-TMS-IBA011797_204,IITA-TMS-IBA011797,204,2,1,2,3,4,1.00,35,35,35,7,1,1,1,1.00,0.00,0.00,0.00,0.00,2,1,1.50,0.86,0.00,0.43,1,0.00,2,,1,1,2,15,89,0,21.40,3,2,3,3,1,1,2,3,29.80,4468.60,289.30,3,sweet,cream,100,27.57,2,9/8/2021,good establishment ,good establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep2-IITA-TMS-IBA011797_204_picture_1_2021-08-09-02-44-50.jpg
2021-20NCRP12yrtAG-rep2-IITA-TMS-IBA164791_205,IITA-TMS-IBA164791,205,2,,2,3,5,0.74,26,26,26,5,1,1,1,1.00,0.00,0.00,0.00,0.00,2,2,2.00,0.38,0.23,0.31,1,0.00,3,,3,3,3,15,39,2,21.90,5,2,3,2,1,2,4,3,29.00,4495.80,354.70,0,sweet,yellow,100,29.58,4,9/8/2021,moderate establishment ,moderate establishment ,,/storage/emulated/0/fieldBook/plot_data/2020NCRP12YRT_AG_6MAP/photos/2021-20NCRP12yrtAG-rep2-IITA-TMS-IBA164791_205_picture_1_2021-08-09-02-46-10.jpg
2021-20NCRP12yrtAG-rep2-IITA-TMS-IBA150815_206,IITA-TMS-IBA150815,206,2,,2,3,6,0.89,31,31,30,5,1,1,1,1.00,0.00,0.00,0.00,0.00,2,2,2.00,0.32,0.40,0.36,2,0.10,3,,4,1,5,15,36,0,26.10,5,2,3,2,1,2,4,2,26.50,4769.90,466.10,0,sweet,yellow,100,29.04,4,9/8/2021,good establishment ,good establishment ,,
